geneID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
ENSG00000228232	GAPDHP1	61.946	-0.516117651743466	0.44304476071844	0.771564301953116	4.047	5.673	ASO_G0272888_AD_07	AC013394.2	-0.824
ENSG00000099904	ZDHHC8	329.068	-0.183411257202224	0.443230822382734	0.771716358899648	26.359	29.268	ASO_G0272888_AD_07	AC013394.2	-0.877
ENSG00000175756	AURKAIP1	1985.396	0.0917495207681412	0.443220500539265	0.771716358899648	189.074	172.946	ASO_G0272888_AD_07	AC013394.2	0.795
ENSG00000198959	TGM2	699.756	-0.16174353653057	0.44328726051047	0.77172865691453	57.058	62.18	ASO_G0272888_AD_07	AC013394.2	-0.618
ENSG00000063241	ISOC2	873.305	0.142405227853442	0.443490384692306	0.771824375096398	86.018	75.68	ASO_G0272888_AD_07	AC013394.2	0.85
ENSG00000151466	SCLT1	292.074	0.0857519649398549	0.443441175900294	0.771824375096398	27.884	25.462	ASO_G0272888_AD_07	AC013394.2	0.76
ENSG00000179431	FJX1	339.178	-0.171039150322629	0.44341796668632	0.771824375096398	27.328	30.159	ASO_G0272888_AD_07	AC013394.2	-1.037
CATG00000067584	CATG00000067584.1	13.257	0.281096584742701	0.443833561156681	0.772058000440885	1.456	1.134	ASO_G0272888_AD_07	AC013394.2	0.219
ENSG00000083817	ZNF416	54.717	-0.144032473489315	0.443912158228554	0.772058000440885	4.51	4.854	ASO_G0272888_AD_07	AC013394.2	-0.851
ENSG00000112234	FBXL4	279.86	0.108929097010369	0.443900555190729	0.772058000440885	27.115	24.326	ASO_G0272888_AD_07	AC013394.2	0.718
ENSG00000134982	APC	374.435	0.0956374269654592	0.443921001277174	0.772058000440885	35.754	32.643	ASO_G0272888_AD_07	AC013394.2	0.767
ENSG00000148296	SURF6	489.996	0.150404448600589	0.443827549555178	0.772058000440885	48.481	42.35	ASO_G0272888_AD_07	AC013394.2	0.982
ENSG00000198756	COLGALT2	12.837	-0.297420502187049	0.443713641149604	0.772058000440885	0.964	1.152	ASO_G0272888_AD_07	AC013394.2	-1.409
CATG00000034202	CATG00000034202.1	34.947	-0.35378499833948	0.444043552924068	0.772131242340419	2.48	3.147	ASO_G0272888_AD_07	AC013394.2	-0.915
ENSG00000113645	WWC1	24.411	-0.238002335187638	0.444106921676983	0.772131242340419	1.808	2.185	ASO_G0272888_AD_07	AC013394.2	-0.435
ENSG00000152049	KCNE4	116.826	0.118286904865029	0.444111315971872	0.772131242340419	11.376	10.151	ASO_G0272888_AD_07	AC013394.2	0.761
ENSG00000160326	SLC2A6	377.658	-0.138887445139276	0.44421624966105	0.772227781359384	30.993	33.482	ASO_G0272888_AD_07	AC013394.2	-0.807
ENSG00000088451	TGDS	288.459	0.110321663360028	0.444433840744062	0.772348335649286	27.99	25.071	ASO_G0272888_AD_07	AC013394.2	0.459
ENSG00000104219	ZDHHC2	381.338	-0.240800027384486	0.444426968126112	0.772348335649286	29.463	34.032	ASO_G0272888_AD_07	AC013394.2	-0.998
ENSG00000198182	ZNF607	34.836	-0.189036745797599	0.444425641746575	0.772348335649286	2.758	3.107	ASO_G0272888_AD_07	AC013394.2	-0.652
ENSG00000186591	UBE2H	537.134	-0.254833894330929	0.444550850453661	0.772465791283015	41.146	48.007	ASO_G0272888_AD_07	AC013394.2	-0.992
ENSG00000053747	LAMA3	132.54	-0.203764155989276	0.444649618158611	0.772472354640904	10.419	11.841	ASO_G0272888_AD_07	AC013394.2	-0.189
ENSG00000100814	CCNB1IP1	182.909	0.13945552376297	0.444900621942722	0.772472354640904	18.103	15.886	ASO_G0272888_AD_07	AC013394.2	0.545
ENSG00000107130	NCS1	684.114	-0.371437832336809	0.444720447195849	0.772472354640904	48.742	61.421	ASO_G0272888_AD_07	AC013394.2	-1.23
ENSG00000118655	DCLRE1B	236.505	0.124620407710099	0.444974053256926	0.772472354640904	23.053	20.503	ASO_G0272888_AD_07	AC013394.2	0.595
ENSG00000140006	WDR89	51.974	0.157742937318618	0.445048851794072	0.772472354640904	5.183	4.509	ASO_G0272888_AD_07	AC013394.2	0.397
ENSG00000142168	SOD1	2190.548	-0.109164191603266	0.444961497910677	0.772472354640904	184.737	193.854	ASO_G0272888_AD_07	AC013394.2	-1.102
